epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,64.5537,1.78547,0.43801,0.94581,1.47559,0.000302325,0.000302325,0.000302325
2,110.601,1.48091,0.49749,0.96392,1.32859,0.000545398,0.000545398,0.000545398
3,159.087,1.3597,0.53469,0.98022,1.20292,0.000728477,0.000728477,0.000728477
4,207.469,1.29405,0.55559,0.9766,1.15947,0.000639027,0.000639027,0.000639027
5,255.316,1.23695,0.57481,0.98259,1.10904,0.000549036,0.000549036,0.000549036
6,301.672,1.20074,0.58944,0.98231,1.08351,0.000459045,0.000459045,0.000459045
7,347.605,1.16961,0.60198,0.98551,1.06538,0.000369054,0.000369054,0.000369054
8,391.672,1.14171,0.60463,0.98384,1.05509,0.000279063,0.000279063,0.000279063
9,435.196,1.12113,0.61159,0.98621,1.02464,0.000189072,0.000189072,0.000189072
10,478.804,1.10392,0.61981,0.98495,1.01285,9.9081e-05,9.9081e-05,9.9081e-05
