epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1135.36,1.12169,0.61758,0.98579,1.02478,0.00997773,0.00332591,0.00997773,0.00332591,0.00997773,0.00332591,0.00997773,0.00332591
2,2265.05,1.04052,0.61298,0.98746,1.08414,0.0195822,0.00652739,0.0195822,0.00652739,0.0195822,0.00652739,0.0195822,0.00652739
3,3394.22,0.95741,0.57551,0.97855,1.24851,0.0287906,0.00959687,0.0287906,0.00959687,0.0287906,0.00959687,0.0287906,0.00959687
4,4523.88,0.99276,0.57997,0.97994,1.16927,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5628.16,1.19451,0.59501,0.98342,1.06613,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,6742.65,1.15779,0.59237,0.98161,1.11375,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,7880.26,1.13478,0.61187,0.98454,1.03123,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,8985.49,1.1192,0.61493,0.98551,1.03234,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,689.963,1.1021,0.61466,0.98551,1.03171,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1368.47,1.06644,0.62274,0.98649,1.03081,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2046.56,1.00972,0.62009,0.98677,1.04727,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2724.21,0.97076,0.60755,0.98398,1.0929,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3401.07,1.02348,0.61772,0.98621,1.03821,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4078.98,1.00976,0.61521,0.98718,1.06272,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4758.73,0.99185,0.61995,0.98677,1.02943,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5437.44,0.98888,0.62747,0.98593,1.03136,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
